单词 次数
and 30
be 26
will 22
to 22
the 20
of 20
a 16
we 16
day 12
able 12
every 12
together 12
i 10
have 10
dream 10
that 10
one 10
with 10
this 10
in 8
shall 8
free 8
when 8
little 6
black 6
white 6
made 6
faith 6
at 6
last 6
children 4
nation 4
by 4
their 4
today 4
alabama 4
boys 4
girls 4
join 4
hands 4
mountain 4
places 4
all 4
it 4
our 4
hope 4
up 4
freedom 4
ring 4
from 4
god 4
men 4
my 2
four 2
live 2
where 2
they 2
not 2
judged 2
color 2
skin 2
but 2
content 2
character 2
down 2
its 2
vicious 2
racists 2
right 2
there 2
as 2
sisters 2
brothers 2
valley 2
exalted 2
hill 2
low 2
rough 2
plain 2
crooked 2
straight 2
glory 2
lord 2
revealed 2
flesh 2
see 2
is 2
hew 2
out 2
despair 2
stone 2
transform 2
jangling 2
discords 2
into 2
beautiful 2
symphony 2
brotherhood 2
work 2
pray 2
struggle 2
go 2
jail 2
stand 2
for 2
knowing 2
happens 2
allow 2
let 2
village 2
hamlet 2
state 2
city 2
speed 2
s 2
jews 2
gentiles 2
protestants 2
catholics 2
sing 2
words 2
old 2
negro 2
spiritual 2
thank 2
almighty 2
are 2
